SaleNo,dollar_acre,RF_Sector
9,2618.855761,1
43,6755.879968,1
15,7364.408248,1
28,7792.575801,1
82,19993.4394,1
47,8278.388278,2
2,8843.046981,2
24,10126.58228,2
59,12055.66272,2
50,14131.79654,2
49,15349.19417,2
51,18460.66458,2
6,30548.62843,2
61,2080,3
14,2279.98176,3
10,3355.227148,3
7,4545.454545,3
30,5110.410095,3
17,5131.25,3
25,5222.826087,3
27,5743.243243,3
16,5900,3
64,5902.777778,3
31,5918.367347,3
77,5997.8534,3
66,6126.894799,3
41,6505.633803,3
32,6524.822695,3
45,6756.756757,3
35,6871.727749,3
81,6874.742197,3
58,7464.036913,3
52,7485.689124,3
46,7823.129252,3
54,8012.820513,3
60,8159.722222,3
48,8232.455258,3
39,9262.935027,3
21,9550,3
62,9687.362395,3
22,10000,3
34,10000,3
33,10000,3
12,10427.87944,3
72,10948.90511,3
87,11146.04173,3
63,11882.89943,3
68,14289.79708,3
37,15008.65884,3
18,18014.70588,3
57,19769.76977,3
56,21159.87461,3
13,1849.54281,4
40,1890.168,4
19,2068.252327,4
3,2700,4
5,3788.862908,4
74,4841.740136,4
76,5651.536533,4
38,5696.312257,4
23,5703.83798,4
26,5811.501597,4
85,5924.170616,4
1,5937.5,4
67,6000,4
88,6144.726379,4
73,7419.354839,4
36,7575.757576,4
84,7831.649832,4
78,8709.677419,4
80,9671.152047,4
44,10425.53191,4
8,756.6929134,5
71,2486.798477,5
65,2753.660749,5
4,3377.358491,5
83,4165.512465,5
42,4395.16129,5
79,4666.137838,5
20,4692.127978,5
55,4831.596887,5
90,5068.621335,5
70,5413.642379,5
91,5655.042413,5
11,6335.740072,5
29,6500,5
53,7068.9519,5
89,7550.390651,5
75,12800.35931,5
